record,name,year,debut,region,team,pos,gp,k
----------x,Doggo,2021,2021,PCS,Beyond Gaming,ADC,13,77
----------x,Elyoya,2021,2021,EU,MAD Lions,Jungle,11,33
----------x,FBI,2021,2021,NA,100 Thieves,ADC,6,23
----------x,Flandre,2021,2021,CN,EDward Gaming,Top,21,56
----------x,GALA,2021,2021,CN,Royal Never Give Up,ADC,12,51
----------x,Grevthar,2021,2021,BRL,RED Canids,Middle,7,16
----------x,Guigo,2021,2021,BRL,RED Canids,Top,9,22
----------x,Gumayusi,2021,2021,KR,T1,ADC,14,49
----------x,HuSha,2021,2021,PCS,Beyond Gaming,Jungle,13,43
----------x,icon,2021,2021,CN,LNG Esports,Middle,11,36
----------x,Iwandy,2021,2021,CN,LNG Esports,Support,4,3
----------x,Jiejie,2021,2021,CN,EDward Gaming,Jungle,21,47
----------x,Jojo,2021,2021,BRL,RED Canids,Support,9,6
----------x,Kino,2021,2021,PCS,Beyond Gaming,Support,13,11
----------x,Light,2021,2021,CN,LNG Esports,ADC,11,36
----------x,Maoan,2021,2021,PCS,Beyond Gaming,Middle,10,29
----------x,Mojito,2021,2021,TRK,Galatasaray Esports,Jungle,9,31
----------x,Morgan,2021,2021,KR,Hanwha Life Esports,Top,17,37
----------x,Oner,2021,2021,KR,T1,Jungle,14,44
----------x,Trymbi,2021,2021,EU,Rogue,Support,8,6
----------x,Vsta,2021,2021,KR,Hanwha Life Esports,Support,17,14
----------x,Wei,2021,2021,CN,Royal Never Give Up,Jungle,12,53
----------x,Willer,2021,2021,KR,Hanwha Life Esports,Jungle,17,60
----------x,Zergsting,2021,2021,TRK,Galatasaray Esports,Support,9,7
xx--xxxxxx-,Doublelift,2020,2011,NA,TSM,ADC,47,113
--x--xxxxx-,Impact,2020,2013,NA,Team Liquid,Top,86,210
--x-xxxx-x-,SwordArt,2020,2013,CN,Suning,Support,52,50
--xxx----x-,WildTurtle,2020,2013,NA,FlyQuest,ADC,48,171
---xxxxx-x-,Bjergsen,2020,2014,NA,TSM,Middle,35,110
---xx-xxxx-,Rekkles,2020,2014,EU,Fnatic,ADC,75,277
----x----x-,KaKAO,2020,2015,TRK,SuperMassive Esports,Jungle,18,45
----xxxxxx-,Karsa,2020,2015,CN,Top Esports,Jungle,52,135
----x--x-x-,Kramer,2020,2015,CN,LGD Gaming,ADC,27,85
-----xx--x-,Biofrost,2020,2016,NA,TSM,Support,19,9
-----x-xxx-,Jankos,2020,2016,EU,G2 Esports,Jungle,69,190
-----x---x-,micaO,2020,2016,BRL,INTZ,ADC,11,17
-----x--xx-,Mikyx,2020,2016,EU,G2 Esports,Support,38,34
-----xx--x-,Peanut,2020,2016,CN,LGD Gaming,Jungle,33,126
-----x---x-,Vander,2020,2016,EU,Rogue,Support,19,20
-----x-xxx-,Wunder,2020,2016,EU,G2 Esports,Top,62,163
------xxxx-,Broxah,2020,2017,NA,Team Liquid,Jungle,57,156
------xxxx-,caPs,2020,2017,EU,G2 Esports,Middle,68,249
------x--x-,Gemini,2020,2017,PCS,Machi Esports,Jungle,7,20
------x--x-,IgNar,2020,2017,NA,FlyQuest,Support,18,11
------x-xx-,Mission,2020,2017,PCS,Machi Esports,Middle,28,58
------x--x-,PowerOfEvil,2020,2017,NA,FlyQuest,Middle,18,55
------x--x-,RedBert,2020,2017,BRL,INTZ,Support,14,11
------x--x-,xiye,2020,2017,CN,LGD Gaming,Middle,39,155
-------xxx-,JackeyLove,2020,2018,CN,Top Esports,ADC,47,201
-------xxx-,Koala,2020,2018,PCS,Machi Esports,Support,26,28
-------x-x-,Kongyue,2020,2018,PCS,PSG Talon,Jungle,9,39
-------x-x-,SnowFlower,2020,2018,TRK,SuperMassive Esports,Support,21,14
-------x-x-,Uniboy,2020,2018,PCS,PSG Talon,Middle,11,32
-------x-x-,Zeitnot,2020,2018,TRK,SuperMassive Esports,ADC,21,85
